epoch,train_loss,val_loss,train_acc,val_acc,lr
1,2.410058,2.737309,17.6556,37.1622,0.000206
2,2.172522,3.012589,41.8234,27.0270,0.000458
3,2.099798,2.868528,47.6845,34.4595,0.000499
4,2.003635,2.458162,52.8944,62.8378,0.000495
5,1.898867,2.470612,58.3936,58.7838,0.000485
6,1.814446,2.650226,60.5644,54.3919,0.000471
7,1.750520,2.738320,63.7482,51.3514,0.000452
8,1.636383,2.701283,70.4052,54.0541,0.000430
9,1.592802,2.471703,76.1939,64.1892,0.000404
10,1.397108,2.445369,83.6469,64.1892,0.000375
11,1.371050,2.509958,88.7844,59.1216,0.000344
12,1.281351,2.487186,93.1983,66.8919,0.000310
13,1.284152,2.368457,93.9219,71.6216,0.000276
14,1.229170,2.404370,96.2373,72.2973,0.000241
15,1.221877,2.437560,98.4081,67.5676,0.000207
16,1.211724,2.404782,98.8423,68.9189,0.000173
17,1.206879,2.417865,99.3488,67.2297,0.000141
