,accuracy,balanced_accuracy,mcc,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro,top2_accuracy,roc_auc_macro,mean_conf_correct,mean_conf_wrong
MobileNetV3_02,0.8653,0.8561,0.8266,0.8711,0.8653,0.8667,0.8154,0.8561,0.8283,0.9192,0.9779,0.5914,0.4612
EfficientNet_05,0.8114,0.8162,0.7596,0.8226,0.8114,0.8138,0.8239,0.8162,0.8163,0.9529,0.9629,0.9665,0.8215
EfficientNet_04,0.8316,0.8002,0.7827,0.8406,0.8316,0.8342,0.7698,0.8002,0.7784,0.9091,0.9741,0.6163,0.4908
ResNet50_02,0.8081,0.7576,0.7546,0.8422,0.8081,0.8207,0.733,0.7576,0.7253,0.9024,0.9635,0.6355,0.5197
PreTrained_02,0.2727,0.37,0.2202,0.6201,0.2727,0.258,0.4017,0.37,0.2655,0.4444,0.6997,0.299,0.309
